id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
851956,Great bright&spacious 1B BTS Onnut,4100838,Siri,,Khlong Toei,13.70486,100.60152,Entire home/apt,1340,14,46,05-07-2025,0.3,3,304,3,
852063,2BR Apt. near Sathon Silom-free WIFI,4396467,Sujin,,Sathon,13.71828,100.54823,Entire home/apt,2500,30,26,05-01-2023,0.17,3,149,0,
858311,"Luxury Riverview Penthouse, 5 Pax, near Iconsiam",4491588,Donzo,,Khlong San,13.72242069,100.5087128,Entire home/apt,5899,2,393,07-09-2025,2.56,1,262,45,
858338,SKY 14 Vibrant street Cozy n Cool near center,1927968,Ivan,,Sathon,13.720785,100.547241,Entire home/apt,,1,311,27-08-2025,2.02,63,364,12,
861105,Home Sweet Home For Your Family near new skytrain,822284,Rae And Charlie,,Bang Sue,13.83235,100.5228,Entire home/apt,1850,3,59,04-08-2025,0.38,7,142,7,
866152,Unit in relaxing garden setting near new skytrain,822284,Rae And Charlie,,Bang Sue,13.82955,100.52119,Entire home/apt,1300,3,1,19-02-2025,0.14,7,149,1,
866329,Entire Studio center of Bangkok,4549405,Carlos,,Bang Rak,13.72465,100.53205,Private room,,21,24,24-07-2025,0.16,2,306,5,
869715,Stylish 1 bed 3 min walk from BTS,4583001,Suchela,,Khlong Toei,13.7142,100.59233,Entire home/apt,,120,0,,,2,0,0,
873841,Suite,4115838,Primrose,,Thawi Watthana,13.79109,100.33362,Private room,1750,2,0,,,6,350,0,
881208,1 Bedroom in trendy Sathorn area near Skytrain!,4549405,Carlos,,Bang Rak,13.72386,100.52563,Private room,,89,0,,,2,364,0,
885848,Lux High Skyline- 1BR w/Spa + Pool + Gym(Min30day),4696220,Ricky,,Ratchathewi,13.75015,100.55276,Entire home/apt,1386,30,27,05-05-2018,0.18,1,363,0,
888304,Cozy Apt @ Ratchayothin BTS Great Facility,2592798,Nokina,,Chatu Chak,13.83028,100.57065,Entire home/apt,,30,9,14-12-2021,0.06,2,0,0,
889909,Spare room in a gated compound,4721867,Annie,,Bang Na,13.65979,100.60643,Private room,,1,4,06-09-2016,0.03,1,0,0,
915293,One bedroom suite with kitchen@ center of Bangkok,4913308,Attakorn,,Parthum Wan,13.74551,100.54235,Entire home/apt,2780,3,3,12-09-2025,0.08,1,296,2,
923795,3BR 300 SqM Apt near BTS PhromPhong,4968824,Sanjay,,Khlong Toei,13.72468,100.56838,Private room,,1,0,,,1,0,0,
933070,Yoong Thong Double Standard Room,1203066,Tienchai,,Min Buri,13.78238,100.74811,Private room,,30,0,,,2,0,0,
933092,Rachapruk Twin Standard Room,1203066,Tienchai,,Min Buri,13.78235,100.7482,Private room,,1,0,,,2,0,0,
941803,Suite Room 1 at MetroPoint,610315,Kasem,,Bang Kapi,13.7703,100.63148,Private room,1648,1,0,,,3,364,0,
941865,Suite Room 3 at MetroPoint,610315,Kasem,,Bang Kapi,13.76872,100.63338,Private room,1678,1,1,01-01-2024,0.05,3,363,0,
952677,Standard Room Decor do Hostel,5171292,Somsak,,Khlong San,13.7204,100.50757,Private room,,1,3,07-02-2015,0.02,8,0,0,
959254,"Deluxe Condo, Nana, Pool/GYM/Sauna",5153476,Natcha,,Khlong Toei,13.71516,100.56806,Entire home/apt,,30,0,,,1,0,0,
960858,"New, Stylish & Luxury Studio Condo",3769704,Pat,,Sai Mai,13.9077,100.64473,Private room,,1,0,,,1,0,0,
969792,1 penthouse in central Bangkok,5297436,Anya,,Ratchathewi,13.7547,100.53268,Entire home/apt,,1,0,,,1,0,0,
973830,BangLuang House1 @ Bangkok Thailand,5325919,à¸§à¸ªà¸§à¸±à¸•à¸•à¸´à¹Œ,,Bangkok Yai,13.73292,100.46413,Private room,1970,1,91,01-09-2025,0.6,2,153,3,
976690,Beautiful 1 BR apartment @BTS Ari,5344120,Nattavut,,Phaya Thai,13.77931,100.54262,Entire home/apt,1260,30,91,29-08-2025,0.6,4,300,2,
978969,"60 m2 apartment in Thong Lor, Bangkok",5358785,Danny,,Vadhana,13.73121,100.57847,Entire home/apt,1676,4,9,02-01-2025,0.06,1,363,3,
988373,BangLuang House 2@ Bangkok Thailand,5325919,à¸§à¸ªà¸§à¸±à¸•à¸•à¸´à¹Œ,,Phasi Charoen,13.73122,100.46228,Entire home/apt,1758,1,136,31-07-2025,0.89,2,162,14,
1016487,Private room in Bangkok,5594281,Yodying,,Chatu Chak,13.82148,100.58326,Private room,,30,0,,,1,0,0,
1920431,Apartment with cafe food massage,9955279,Panu,,Lat Krabang,13.72021,100.75534,Private room,560,1,1,03-07-2023,0.04,1,363,0,
1926489,Ideo Blucove Sukhumvit Bangkok,9434109,Sander,,Bang Na,13.67998,100.61074,Entire home/apt,1425,29,0,,,1,365,0,
1933894,"2-Storeied Bighouse,3br3à¸ºbth,Near Park/BTS/Airport",9509219,Pee,,Pra Wet,13.70004,100.6787,Entire home/apt,3214,7,4,03-12-2023,0.03,9,250,0,
1936939,Baan Nampetch Hostel (Standard Twin room),8626494,Paula,,Phra Nakhon,13.76032,100.50069,Private room,1176,1,136,19-01-2020,0.94,9,364,0,
1943048,"Best nr Chatujak, MRT, BTS free wifi&fNetflix",9906827,Nokiko,,Chatu Chak,13.81694,100.56451,Entire home/apt,1130,30,353,15-05-2025,2.5,1,327,9,
